"","newid","std_lname","std_f2initial","chamber","gender","state_abb","district","party_abb","SW_politician_name","congress.gov_politician_name","icpsr_politician_id","govtrack_id","fec_candidate_id","congress.gov_terms","first_yr_in_congress","last_year_in_congress","congress_num","congress_begin_yr","congress_end_yr","icpsr_com_name","icpsr_com_id","lobbyview_com_id","maj_min","rank_within_party","senior_party_member","com_seniority","com_period_of_service","notes"
"1",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,103,1993,1994,"Armed services",106,6,1,21,0,2,4,NA
"2",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,103,1993,1994,"Natural resources",164,49,1,16,0,2,2,NA
"3",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,104,1995,1996,"National security",106,6,2,13,0,3,4,NA
"4",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,104,1995,1996,"Resources",164,16,2,11,0,3,2,NA
"5",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,105,1997,1998,"National security",106,6,2,9,0,4,4,NA
"6",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,105,1997,1998,"Resources",164,16,2,10,0,4,2,NA
"7",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,106,1999,2000,"National security",106,6,2,8,0,5,4,NA
"8",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,106,1999,2000,"Resources",164,16,2,7,0,5,2,NA
"9",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,107,2001,2002,"National security",106,6,2,7,0,6,4,NA
"10",1,"abercrombie","ne","H","M","HI",1,"D","Abercrombie, Neil","Representative Abercrombie, Neil",15245,NA,NA,"House: 1985-1987, 1991-2011",1985,2011,107,2001,2002,"Resources",164,16,2,6,0,6,2,NA
